value,benchmark
dynamic9,6.524863
dynamic9,6.317749
dynamic9,6.311346
dynamic9,6.312222
dynamic9,6.312335
dynamic9,6.316063
dynamic9,6.313294
dynamic9,6.310177
dynamic9,6.324850
dynamic9,6.313405
dynamic9,6.313931
dynamic8,5.716556
dynamic8,5.694124
dynamic8,5.698651
dynamic8,5.698046
dynamic8,5.713211
dynamic8,5.702756
dynamic8,5.703355
dynamic8,5.700499
dynamic8,5.702483
dynamic8,5.702170
dynamic8,5.699873
dynamic7,5.094046
dynamic7,5.080861
dynamic7,5.078136
dynamic7,5.083734
dynamic7,5.080839
dynamic7,5.087476
dynamic7,5.087343
dynamic7,5.083304
dynamic7,5.087220
dynamic7,5.087843
dynamic7,5.084620
dynamic6,4.469551
dynamic6,4.457831
dynamic6,4.455928
dynamic6,4.459724
dynamic6,4.466375
dynamic6,4.463468
dynamic6,4.460355
dynamic6,4.461918
dynamic6,4.464207
dynamic6,4.460073
dynamic6,4.461979
dynamic5,3.915155
dynamic5,3.910038
dynamic5,3.905308
dynamic5,3.908358
dynamic5,3.910792
dynamic5,3.908771
dynamic5,3.911603
dynamic5,3.909169
dynamic5,3.908305
dynamic5,3.908292
dynamic5,3.911934
dynamic4,3.257521
dynamic4,3.255624
dynamic4,3.250805
dynamic4,3.254524
dynamic4,3.250492
dynamic4,3.249844
dynamic4,3.253576
dynamic4,3.253293
dynamic4,3.251721
dynamic4,3.252944
dynamic4,3.253918
dynamic3,2.631209
dynamic3,2.630544
dynamic3,2.627842
dynamic3,2.633157
dynamic3,2.626561
dynamic3,2.634900
dynamic3,2.632475
dynamic3,2.630346
dynamic3,2.635078
dynamic3,2.632648
dynamic3,2.635962
dynamic2,2.004922
dynamic2,1.993909
dynamic2,1.996570
dynamic2,1.996630
dynamic2,1.996492
dynamic2,2.000119
dynamic2,1.997629
dynamic2,1.999579
dynamic2,1.999298
dynamic2,1.998490
dynamic2,2.000056
dynamic1,1.397891
dynamic1,1.399439
dynamic1,1.395682
dynamic1,1.396654
dynamic1,1.396252
dynamic1,1.400530
dynamic1,1.401301
dynamic1,1.400256
dynamic1,1.398209
dynamic1,1.396235
dynamic1,1.397856
dynamic0,0.755957
dynamic0,0.754379
dynamic0,0.722515
dynamic0,0.722916
dynamic0,0.723907
dynamic0,0.727514
dynamic0,0.723419
dynamic0,0.726175
dynamic0,0.723545
dynamic0,0.724201
dynamic0,0.726496
static9,4.879911
static9,4.883910
static9,4.877289
static9,4.875739
static9,4.877328
static9,4.877669
static9,4.876815
static9,4.877451
static9,4.877076
static9,4.876326
static9,4.881313
static8,4.384742
static8,4.387990
static8,4.380778
static8,4.381103
static8,4.380703
static8,4.380934
static8,4.381166
static8,4.380885
static8,4.380716
static8,4.380632
static8,4.391437
static7,3.879393
static7,3.882417
static7,3.877476
static7,3.878318
static7,3.877215
static7,3.879426
static7,3.877416
static7,3.878288
static7,3.877630
static7,3.876803
static7,3.886467
static6,3.380132
static6,3.378554
static6,3.376344
static6,3.378708
static6,3.379786
static6,3.380154
static6,3.379637
static6,3.379541
static6,3.376893
static6,3.377030
static6,3.384482
static5,2.902103
static5,2.906174
static5,2.902679
static5,2.901863
static5,2.903045
static5,2.901870
static5,2.903131
static5,2.904910
static5,2.902616
static5,2.900865
static5,2.902867
static4,2.416010
static4,2.416157
static4,2.413026
static4,2.415594
static4,2.415301
static4,2.414535
static4,2.414483
static4,2.416400
static4,2.417371
static4,2.412717
static4,2.420395
static3,1.904195
static3,1.903591
static3,1.904617
static3,1.904005
static3,1.903922
static3,1.900368
static3,1.902295
static3,1.902798
static3,1.901699
static3,1.905490
static3,1.907693
static2,1.418699
static2,1.412915
static2,1.411801
static2,1.411078
static2,1.410467
static2,1.411163
static2,1.409820
static2,1.410419
static2,1.412568
static2,1.409901
static2,1.415485
static1,0.904962
static1,0.906863
static1,0.906579
static1,0.906114
static1,0.906775
static1,0.904951
static1,0.903758
static1,0.907674
static1,0.905044
static1,0.905070
static1,0.905095
static0,0.402852
static0,0.402187
static0,0.401802
static0,0.402102
static0,0.402458
static0,0.403853
static0,0.402760
static0,0.403661
static0,0.402957
static0,0.402436
static0,0.402297
kslookup,0.016371
kslookup,0.008924
kslookup,0.008922
kslookup,0.009018
kslookup,0.008922
kslookup,0.008985
kslookup,0.008922
kslookup,0.008923
kslookup,0.008922
kslookup,0.008958
kslookup,0.008920
nothing,0.000000
nothing,0.000000
nothing,0.000000
nothing,0.000000
nothing,0.000000
nothing,0.000000
nothing,0.000000
nothing,0.000000
nothing,0.000000
nothing,0.000000
nothing,0.000000
