value,benchmark
9 mountpoint(s),1.098485
9 mountpoint(s),1.106781
9 mountpoint(s),1.103104
9 mountpoint(s),1.115100
9 mountpoint(s),1.101582
9 mountpoint(s),1.103145
9 mountpoint(s),1.128793
9 mountpoint(s),1.107465
9 mountpoint(s),1.117742
9 mountpoint(s),1.100136
9 mountpoint(s),1.104620
8 mountpoint(s),1.063236
8 mountpoint(s),1.073390
8 mountpoint(s),1.073711
8 mountpoint(s),1.106777
8 mountpoint(s),1.070628
8 mountpoint(s),1.092106
8 mountpoint(s),1.104169
8 mountpoint(s),1.072785
8 mountpoint(s),1.077806
8 mountpoint(s),1.069561
8 mountpoint(s),1.079679
7 mountpoint(s),1.038101
7 mountpoint(s),1.035185
7 mountpoint(s),1.054742
7 mountpoint(s),1.055315
7 mountpoint(s),1.035962
7 mountpoint(s),1.034026
7 mountpoint(s),1.051238
7 mountpoint(s),1.043263
7 mountpoint(s),1.042937
7 mountpoint(s),1.039312
7 mountpoint(s),1.035730
6 mountpoint(s),1.000657
6 mountpoint(s),1.003861
6 mountpoint(s),1.012309
6 mountpoint(s),1.025960
6 mountpoint(s),1.001286
6 mountpoint(s),1.001687
6 mountpoint(s),1.000921
6 mountpoint(s),1.012023
6 mountpoint(s),1.001054
6 mountpoint(s),1.006068
6 mountpoint(s),1.010064
5 mountpoint(s),0.969250
5 mountpoint(s),0.971434
5 mountpoint(s),0.981760
5 mountpoint(s),0.989433
5 mountpoint(s),0.980580
5 mountpoint(s),0.969658
5 mountpoint(s),0.968287
5 mountpoint(s),0.984837
5 mountpoint(s),0.974660
5 mountpoint(s),0.965960
5 mountpoint(s),0.975446
4 mountpoint(s),0.930963
4 mountpoint(s),0.946284
4 mountpoint(s),0.959093
4 mountpoint(s),0.964852
4 mountpoint(s),0.945057
4 mountpoint(s),0.933533
4 mountpoint(s),0.941019
4 mountpoint(s),0.933616
4 mountpoint(s),0.936119
4 mountpoint(s),0.932704
4 mountpoint(s),0.935648
3 mountpoint(s),0.900184
3 mountpoint(s),0.901336
3 mountpoint(s),0.912919
3 mountpoint(s),0.903551
3 mountpoint(s),0.913385
3 mountpoint(s),0.904780
3 mountpoint(s),0.903315
3 mountpoint(s),0.901885
3 mountpoint(s),0.907363
3 mountpoint(s),0.909910
3 mountpoint(s),0.905751
2 mountpoint(s),0.880179
2 mountpoint(s),0.869627
2 mountpoint(s),0.885925
2 mountpoint(s),0.880967
2 mountpoint(s),0.874162
2 mountpoint(s),0.873247
2 mountpoint(s),0.876362
2 mountpoint(s),0.870830
2 mountpoint(s),0.877225
2 mountpoint(s),0.871961
2 mountpoint(s),0.872633
1 mountpoint(s),0.838893
1 mountpoint(s),0.839003
1 mountpoint(s),0.868009
1 mountpoint(s),0.838144
1 mountpoint(s),0.839138
1 mountpoint(s),0.836245
1 mountpoint(s),0.839271
1 mountpoint(s),0.836021
1 mountpoint(s),0.837528
1 mountpoint(s),0.837399
1 mountpoint(s),0.837340
0 mountpoint(s),0.881119
0 mountpoint(s),0.909350
0 mountpoint(s),0.798008
0 mountpoint(s),0.801720
0 mountpoint(s),0.798319
0 mountpoint(s),0.811468
0 mountpoint(s),0.810273
0 mountpoint(s),0.826235
0 mountpoint(s),0.800968
0 mountpoint(s),0.800866
0 mountpoint(s),0.798948
