

hostname elitebyte
gcc: 4
sizeof(int) 4
sizeof(long) 8
sizeof(long long) 8
iterations 100000

0
                       nothing	0.000299 sec	 Sum: 0.000299 sec	Avg: 0.000299 sec	Min: 0.000299 sec	Max: 0.000299 sec	Median: 0.000299 sec
               0 mountpoint(s)	0.881119 sec	 Sum: 0.881119 sec	Avg: 0.881119 sec	Min: 0.881119 sec	Max: 0.881119 sec	Median: 0.881119 sec
               1 mountpoint(s)	0.838893 sec	 Sum: 0.838893 sec	Avg: 0.838893 sec	Min: 0.838893 sec	Max: 0.838893 sec	Median: 0.838893 sec
               2 mountpoint(s)	0.880179 sec	 Sum: 0.880179 sec	Avg: 0.880179 sec	Min: 0.880179 sec	Max: 0.880179 sec	Median: 0.880179 sec
               3 mountpoint(s)	0.900184 sec	 Sum: 0.900184 sec	Avg: 0.900184 sec	Min: 0.900184 sec	Max: 0.900184 sec	Median: 0.900184 sec
               4 mountpoint(s)	0.930963 sec	 Sum: 0.930963 sec	Avg: 0.930963 sec	Min: 0.930963 sec	Max: 0.930963 sec	Median: 0.930963 sec
               5 mountpoint(s)	0.969250 sec	 Sum: 0.969250 sec	Avg: 0.969250 sec	Min: 0.969250 sec	Max: 0.969250 sec	Median: 0.969250 sec
               6 mountpoint(s)	1.000657 sec	 Sum: 1.000657 sec	Avg: 1.000657 sec	Min: 1.000657 sec	Max: 1.000657 sec	Median: 1.000657 sec
               7 mountpoint(s)	1.038101 sec	 Sum: 1.038101 sec	Avg: 1.038101 sec	Min: 1.038101 sec	Max: 1.038101 sec	Median: 1.038101 sec
               8 mountpoint(s)	1.063236 sec	 Sum: 1.063236 sec	Avg: 1.063236 sec	Min: 1.063236 sec	Max: 1.063236 sec	Median: 1.063236 sec
               9 mountpoint(s)	1.098485 sec	 Sum: 1.098485 sec	Avg: 1.098485 sec	Min: 1.098485 sec	Max: 1.098485 sec	Median: 1.098485 sec
1
                       nothing	0.000027 sec	 Sum: 0.000326 sec	Avg: 0.000163 sec	Min: 0.000027 sec	Max: 0.000299 sec	Median: 0.000299 sec
               0 mountpoint(s)	0.909350 sec	 Sum: 1.790469 sec	Avg: 0.895234 sec	Min: 0.881119 sec	Max: 0.909350 sec	Median: 0.909350 sec
               1 mountpoint(s)	0.839003 sec	 Sum: 1.677896 sec	Avg: 0.838948 sec	Min: 0.838893 sec	Max: 0.839003 sec	Median: 0.839003 sec
               2 mountpoint(s)	0.869627 sec	 Sum: 1.749806 sec	Avg: 0.874903 sec	Min: 0.869627 sec	Max: 0.880179 sec	Median: 0.880179 sec
