value,benchmark
hashmap,0.016141
hashmap,0.016551
hashmap,0.016239
hashmap,0.016150
hashmap,0.016388
hashmap,0.016544
hashmap,0.016269
hashmap,0.016248
hashmap,0.016114
hashmap,0.016378
hashmap,0.015721
ksLookup,0.030156
ksLookup,0.031070
ksLookup,0.030222
ksLookup,0.030232
ksLookup,0.030223
ksLookup,0.030749
ksLookup,0.030218
ksLookup,0.030281
ksLookup,0.030370
ksLookup,0.030230
ksLookup,0.029336
evaluate,0.110158
evaluate,0.114693
evaluate,0.111600
evaluate,0.109837
evaluate,0.111599
evaluate,0.113322
evaluate,0.109879
evaluate,0.109657
evaluate,0.111756
evaluate,0.111724
evaluate,0.106470
syncLayers,0.084189
syncLayers,0.080770
syncLayers,0.080687
syncLayers,0.079778
syncLayers,0.079696
syncLayers,0.078801
syncLayers,0.079976
syncLayers,0.078911
syncLayers,0.080667
syncLayers,0.078804
syncLayers,0.078840
with0,0.091009
switch0,0.283015
