num,reply,request,errors,time
1,1508.7,1508.8,448705,538.5
2,2314.2,2307.0,367582,378.5
3,3023.6,3017.2,296654,297.5
4,3615.2,3609.9,237501,251.7
5,4134.3,4131.0,185575,208.8
6,4628.2,4621.5,136202,188.3
7,5013.6,5007.2,97683,182.6
8,5253.2,5250.1,73721,147.7
9,5018.2,4983.1,97213,93.8
10,5227.7,5189.3,76263,74.4
11,5448.2,5423.3,54338,66.4
12,5602.2,5561.9,38843,60.6
13,5985.3,5985.4,1505,6.8
14,5999.7,5999.9,0,1.4
15,5999.8,6000.2,0,1.2
16,6000.3,5999.8,1,1.2
17,6000.3,5999.8,0,1.2
18,6000.4,6000.4,0,1.1
19,6000.4,6000.4,0,1.0
20,6000.4,6000.4,0,1.0
30,6000.4,6000.4,0,0.8
40,6000.4,6000.4,0,0.6
50,5999.8,6000.2,0,0.5
