num,reply,request,errors,time
1,125.4,125.4,2395,97.5
2,127.7,127.4,2183,95.2
3,124.3,124.1,2531,96.5
4,130.7,130.3,1899,92.5
5,134.3,134.3,1483,90.2
6,137.7,136.9,1202,89.9
7,137.8,137.2,1192,88.3
8,143.2,142.4,662,84.0
9,147.1,147.2,280,77.4
10,146.3,145.3,358,80.1
11,144.9,144.2,473,82.0
12,144.3,143.5,545,80.5
13,147.3,147.3,252,68.4
14,144.3,144.1,552,83.5
15,145.1,144.2,477,72.0
16,147.8,147.9,218,19.7
17,147.7,147.8,226,34.7
18,145.0,144.2,462,83.1
19,145.0,143.9,478,78.6
20,148.0,148.0,202,13.3
21,146.1,146.2,393,17.7
22,145.3,144.5,431,80.6
23,148.0,148.1,197,15.0
24,148.0,148.0,204,12.8
25,146.1,146.1,393,20.5
26,145.9,144.9,380,20.4
27,148.2,148.2,183,10.1
28,146.1,146.1,394,19.8
29,146.3,146.3,373,27.2
30,148.0,148.1,195,11.4
31,148.3,148.3,171,11.1
32,145.9,146.0,402,43.3
33,146.3,146.3,369,16.5
34,148.1,148.2,186,9.8
35,146.6,146.7,341,17.0
36,146.4,146.5,356,19.1
37,148.2,148.2,183,9.9
38,148.1,148.2,186,9.1
39,146.3,146.4,373,17.5
40,146.5,145.4,320,14.2
41,148.3,148.3,167,9.5
42,146.1,146.2,389,18.6
43,146.2,146.3,376,14.5
44,148.2,148.3,178,10.8
45,148.2,148.3,176,12.1
46,146.4,146.5,361,16.9
47,146.2,145.3,331,13.6
48,148.2,148.3,179,8.8
49,146.5,146.7,344,15.6
50,146.4,146.6,354,15.9
